country,new_cases,tests_done,population,testing_rate,positivity_rate,datetime
Czechia,-0.4293290817069167,-0.8194179076226796,-0.2073732616300669,-0.8194179076498948,1.5791115877760395,2022-08-29
Czechia,-0.38688649987609797,-0.8020840896476571,-0.2073732616300669,-0.8020840896664668,1.5784114401273635,2022-09-05
Czechia,-0.33725026010785225,-0.7719602232544078,-0.2073732616300669,-0.7719602232811132,1.4068120068778267,2022-09-12
Czechia,-0.30104218182280346,-0.7500512993808187,-0.2073732616300669,-0.7500512994139148,1.3196194571786837,2022-09-19
Czechia,-0.2530365045203745,-0.7610407133911271,-0.2073732616300669,-0.7610407134295523,1.7977916842980521,2022-09-26
Czechia,-0.25835981139407044,-0.7527823820905531,-0.2073732616300669,-0.7527823821216805,1.626339888643425,2022-10-03
Denmark,-0.29541006829109673,-0.41049966316099845,-0.43656943125284714,-0.4104996631583649,-0.541795380309768,2020-01-06
Denmark,-0.29541006829109673,-0.41049966316099845,-0.43656943125284714,-0.4104996631583649,-0.541795380309768,2020-01-13
Denmark,-0.29541006829109673,-0.41049966316099845,-0.43656943125284714,-0.4104996631583649,-0.541795380309768,2020-01-20
Denmark,-0.29541006829109673,-0.41049966316099845,-0.43656943125284714,-0.4104996631583649,-0.541795380309768,2020-01-27
Denmark,-0.388069128097605,-0.8001155589482193,-0.43656943125284714,-0.8001155589446824,-0.6973812018956701,2020-02-03
Denmark,-0.388069128097605,-0.8001146529606069,-0.43656943125284714,-0.8001146529570557,-0.6973812018956701,2020-02-10
Denmark,-0.388069128097605,-0.8001146529606069,-0.43656943125284714,-0.8001146529570557,-0.6973812018956701,2020-02-17
Denmark,-0.388069128097605,-0.8001101230225447,-0.43656943125284714,-0.8001101230189748,-0.6973812018956701,2020-02-24
Denmark,-0.387999163729653,-0.7998129590856631,-0.43656943125284714,-0.7998129590820988,-0.5315531583408127,2020-03-02
Denmark,-0.3866523496465758,-0.7993889568830393,-0.43656943125284714,-0.7993889568795898,0.7083977127121223,2020-03-09
Denmark,-0.3735165395635767,-0.7956254843409476,-0.43656943125284714,-0.7956254843374033,1.6466160838155874,2020-03-16
Denmark,-0.3783965542282329,-0.7934574559843695,-0.43656943125284714,-0.7934574559818551,0.3534852300635102,2020-03-23
Denmark,-0.3681642654152442,-0.7910357510963071,-0.43656943125284714,-0.7910357510918659,0.8885551994599653,2020-03-30
Denmark,-0.37320169990779245,-0.7745114430329437,-0.43656943125284714,-0.7745114430306715,-0.27722266907902265,2020-04-06
Denmark,-0.388069128097605,-0.7748946757930074,-0.43656943125284714,-0.7748946757868538,-0.6973812018956701,2020-04-13
Denmark,-0.388069128097605,-0.7744561777885847,-0.43656943125284714,-0.7744561777862843,-0.6973812018956701,2020-04-20
Denmark,-0.388069128097605,-0.7293479605526179,-0.43656943125284714,-0.7293479605286526,-0.6973812018956701,2020-04-27
Denmark,-0.388069128097605,-0.709305702590135,-0.43656943125284714,-0.7093057025681091,-0.6973812018956701,2020-05-04
Denmark,-0.388069128097605,-0.7225829510504996,-0.43656943125284714,-0.7225829510703623,-0.6973812018956701,2020-05-11
Denmark,-0.37935856428757364,-0.721820109480822,-0.43656943125284714,-0.7218201094543251,-0.6168752681504273,2020-05-18
Denmark,-0.3804954852667946,-0.7249666044588394,-0.43656943125284714,-0.7249666044404499,-0.6244523472595451,2020-05-25
Denmark,-0.38266438067330844,-0.719648457173794,-0.43656943125284714,-0.719648457162238,-0.6487768007311022,2020-06-01
Denmark,-0.3831891134329489,-0.732209975420328,-0.43656943125284714,-0.732209975399121,-0.6453778327359065,2020-06-08
Denmark,-0.3837838105605414,-0.7131842355590072,-0.43656943125284714,-0.7131842355541349,-0.6617092921467644,2020-06-15
Denmark,-0.3846058918839781,-0.6975967186869108,-0.43656943125284714,-0.6975967186988228,-0.6729356335755529,2020-06-22
Denmark,-0.3831016579730088,-0.6967804238480989,-0.43656943125284714,-0.6967804238235991,-0.662594836681766,2020-06-29
Denmark,-0.3853230266554867,-0.7065659960501048,-0.43656943125284714,-0.7065659960240819,-0.676139201171292,2020-07-06
Denmark,-0.38607514361097134,-0.7117573050694082,-0.43656943125284714,-0.7117573050789885,-0.6810508886666918,2020-07-13
Denmark,-0.38409865021632567,-0.7073451453968066,-0.43656943125284714,-0.7073451453746497,-0.6664103045948436,2020-07-20
Denmark,-0.3834339887207811,-0.7022852045813077,-0.43656943125284714,-0.7022852045986425,-0.6630957145306781,2020-07-27
Denmark,-0.38192975480981184,-0.6807109215661823,-0.43656943125284714,-0.6807109215504149,-0.6601740709335516,2020-08-03
Denmark,-0.37664744502943137,-0.6467209843101265,-0.43656943125284714,-0.6467209843199889,-0.6434989630312572,2020-08-10
Denmark,-0.36751709501168767,-0.6040788653552319,-0.43656943125284714,-0.6040788653490219,-0.6215156497565548,2020-08-17
Denmark,-0.3758253637059947,-0.5804597682988207,-0.43656943125284714,-0.5804597682849224,-0.6570445213438162,2020-08-24
Denmark,-0.3780292412964845,-0.5793055400805673,-0.43656943125284714,-0.5793055400877658,-0.6644780185394763,2020-08-31
Denmark,-0.37071796484549435,-0.5680477380083401,-0.43656943125284714,-0.5680477380202154,-0.643275653019207,2020-09-07
Denmark,-0.35296450647765937,-0.5003061382383011,-0.43656943125284714,-0.5003061382508159,-0.6126490362584301,2020-09-14
Denmark,-0.33533348575374045,-0.4802321707093828,-0.43656943125284714,-0.48023217069476326,-0.5780807510079826,2020-09-21
Denmark,-0.3227923727983339,-0.4822425572213957,-0.43656943125284714,-0.4822425572299179,-0.548775858827379,2020-09-28
Denmark,-0.3348437351780761,-0.5215705734899706,-0.43656943125284714,-0.521570573496398,-0.5591033843768088,2020-10-05
Denmark,-0.3401085538664685,-0.5307346381898401,-0.43656943125284714,-0.5307346381857542,-0.5685424877817572,2020-10-12
Denmark,-0.3361205848932011,-0.5828651654098592,-0.43656943125284714,-0.5828651654245078,-0.5243435590574161,2020-10-19
Denmark,-0.3012433474690997,-0.49768783403833844,-0.43656943125284714,-0.49768783405385686,-0.4896238440962732,2020-10-26
Denmark,-0.26662847642481846,-0.4060598708662174,-0.43656943125284714,-0.4060598708715151,-0.4743648460018487,2020-11-02
Denmark,-0.25125380656735347,-0.38225232838641793,-0.43656943125284714,-0.3822523284047485,-0.4604452438626852,2020-11-09
Denmark,-0.2653691178016814,-0.35946855190868005,-0.43656943125284714,-0.35946855188852195,-0.4958769019304446,2020-11-16
Denmark,-0.24203600108966966,-0.3439136505906316,-0.43656943125284714,-0.34391365060809137,-0.4657351396641467,2020-11-23
Denmark,-0.23297561543987802,-0.34469098796210845,-0.43656943125284714,-0.34469098794700365,-0.45094312853609564,2020-11-30
Denmark,-0.1912768521404508,-0.30782182207370606,-0.43656943125284714,-0.3078218220792957,-0.40810376390177794,2020-12-07
Denmark,-0.053027261067181995,-0.17880193816080253,-0.43656943125284714,-0.17880193838086744,-0.3071522134790707,2020-12-14
Denmark,0.04354105779864758,-0.01967880384922727,-0.43656943125284714,-0.01967880388202379,-0.2971732802036211,2020-12-21
Denmark,-0.057260105328281574,-0.21459116681517187,-0.43656943125284714,-0.21459116699491015,-0.2885316171938546,2020-12-28
Denmark,-0.11933599079374602,-0.3121243572452019,-0.43656943125284714,-0.3121243572213228,-0.2988704585649978,2021-01-04
Denmark,-0.16462042795071627,-0.2742549810326615,-0.43656943125284714,-0.27425498102549817,-0.3898861044753422,2021-01-04
Denmark,-0.2551018468047167,-0.24592474839154235,-0.43656943125284714,-0.2459247485243485,-0.523754481786378,2021-01-11
Denmark,-0.2904163615285185,-0.08138652612039021,-0.43656943125284714,-0.08138652616075115,-0.5990591477829542,2021-01-18
Denmark,-0.32158548745116083,-0.06259271908785503,-0.43656943125284714,-0.06259271925742797,-0.6321476627694823,2021-01-25
Denmark,-0.3329896794273465,-0.020575731585546677,-0.43656943125284714,-0.020575731397618327,-0.6462503553091272,2021-02-01
Denmark,-0.3401260449584565,0.011854095001880866,-0.43656943125284714,0.011854095225836195,-0.6546526740550206,2021-02-08
Denmark,-0.3318352673561375,0.15419833873099606,-0.43656943125284714,0.15419833883009462,-0.6547390966437551,2021-02-15
Denmark,-0.3247863572849676,0.30901440793301327,-0.43656943125284714,0.3090144078138564,-0.6560921220204279,2021-02-22
Denmark,-0.3243315888932792,0.5033559987031183,-0.43656943125284714,0.5033559986308639,-0.6619956438387131,2021-03-01
Denmark,-0.28976919112496197,0.6460979709940964,-0.43656943125284714,0.6460979710422221,-0.648193874477813,2021-03-08
Denmark,-0.29980907792608247,0.9677752147055716,-0.43656943125284714,0.9677752145596796,-0.6612534202386524,2021-03-15
Denmark,-0.34420146939166396,1.0629890768477452,-0.43656943125284714,1.062989076798036,-0.680342370833252,2021-03-22
Denmark,-0.29527888510118666,0.9287108408322179,-0.43656943125284714,0.9287108406187311,-0.6585408222496386,2021-03-29
Denmark,-0.3098139825432269,1.6287919306331151,-0.43656943125284714,1.6287919305787328,-0.6740662423864356,2021-04-05
Denmark,-0.3033947517836255,1.732587307440357,-0.43656943125284714,1.7325873074258096,-0.6731876005096648,2021-04-12
Denmark,-0.3008060701693993,2.181425348484001,-0.43656943125284714,2.181425348513653,-0.6762013713394198,2021-04-19
Denmark,-0.29554125148100685,2.3166295038394464,-0.43656943125284714,2.316629503760122,-0.6758977453285635,2021-04-26
Denmark,-0.28060385892324224,2.760441125609252,-0.43656943125284714,2.7604411254674823,-0.6755396688326312,2021-05-03
Denmark,-0.257812966062859,2.886275557076803,-0.43656943125284714,2.886275557172575,-0.6718112583511039,2021-05-10
Denmark,-0.2657889040093937,3.0579565856844626,-0.43656943125284714,3.0579565858849906,-0.6744451428164652,2021-05-17
Denmark,-0.2675729953921712,2.775986967051176,-0.43656943125284714,2.775986966954185,-0.6729977021744185,2021-05-24
Denmark,-0.2812685204187868,2.5818519414567085,-0.43656943125284714,2.5818519413389414,-0.6745285204229879,2021-05-31
Denmark,-0.328861781718175,2.179057096865073,-0.43656943125284714,2.179057096845813,-0.6829994182596519,2021-06-07
Denmark,-0.35696996654291474,1.7710120540593255,-0.43656943125284714,1.7710120540036245,-0.6886281840470857,2021-06-14
Denmark,-0.36548812834107797,1.1861952382515966,-0.43656943125284714,1.1861952381626981,-0.6891544463877612,2021-06-21
Denmark,-0.34654527571805793,1.1017535688213802,-0.43656943125284714,1.1017535690798104,-0.6815814739181081,2021-06-28
Denmark,-0.3197489227924193,0.9153638313256951,-0.43656943125284714,0.9153638311227605,-0.6685610548165162,2021-07-05
Denmark,-0.2677828884960274,0.6744282036352155,-0.43656943125284714,0.674428203702102,-0.6383487660399915,2021-07-12
Denmark,-0.2932674095225649,0.4841372834803469,-0.43656943125284714,0.48413728353925684,-0.643961928301923,2021-07-19
Denmark,-0.2799741796116737,0.2796395715747464,-0.43656943125284714,0.27963957136040146,-0.624935562115977,2021-07-26
Denmark,-0.2816183422585471,0.14185425751144864,-0.43656943125284714,0.14185425744162897,-0.6156018142572952,2021-08-02
Denmark,-0.2657889040093937,0.08143122567473106,-0.43656943125284714,0.08143122587122542,-0.5970022299560068,2021-08-09
Denmark,-0.27107121378977417,0.14707637010957497,-0.43656943125284714,0.14707637005976162,-0.6079946658964448,2021-08-16
Denmark,-0.27224311695297115,0.165420807286338,-0.43656943125284714,0.16542080738464496,-0.6105712602684046,2021-08-23
Denmark,-0.30252019718422474,-0.07264465164791953,-0.43656943125284714,-0.07264465166865056,-0.6122810066733603,2021-08-30
Denmark,-0.32870436189028285,-0.22880792442964074,-0.43656943125284714,-0.2288079246252909,-0.6221860413949646,2021-09-06
Denmark,-0.34832936710083545,-0.36021870965178354,-0.43656943125284714,-0.3602187096346095,-0.6320072200028619,2021-09-13
Denmark,-0.34623043606227366,-0.4007353816678849,-0.43656943125284714,-0.4007353816847835,-0.6215720111967442,2021-09-20
Denmark,-0.3357007986854888,-0.4127931708019001,-0.43656943125284714,-0.41279317078720673,-0.5995389829117107,2021-09-27
Denmark,-0.32039609319597584,-0.40820615552009687,-0.43656943125284714,-0.40820615552952316,-0.5724243198212566,2021-10-04
Denmark,-0.3049689500625468,-0.3781753841304206,-0.43656943125284714,-0.3781753841371343,-0.5548593356714819,2021-10-11
Denmark,-0.2522857809946463,-0.347166146119305,-0.43656943125284714,-0.34716614613321656,-0.4804473012855051,2021-10-18
Denmark,-0.18921290328586504,-0.08931572970449878,-0.43656943125284714,-0.08931572980093937,-0.49492856523783113,2021-10-25
